date,bist
2019-01-01,1040.74
2019-02-01,1045.3
2019-03-01,937.84
2019-04-01,954.16
2019-05-01,905.9
2019-06-01,964.85
2019-07-01,1020.82
2019-08-01,967.18
2019-09-01,1050.33
2019-10-01,984.69
2019-11-01,1069.04
2019-12-01,1144.25
2020-01-01,1191.4
2020-02-01,1059.94
2020-03-01,896.44
2020-04-01,1011.1
2020-05-01,1055.2
2020-06-01,1165.25
2020-07-01,1126.9
2020-08-01,1078.61
2020-09-01,1145.24
2020-10-01,1112.37
2020-11-01,1283.58
2020-12-01,1476.72
2021-01-01,1473.45
2021-02-01,1471.39
2021-03-01,1391.73
2021-04-01,1397.82
2021-05-01,1420.49
2021-06-01,1356.34
2021-07-01,1392.91
2021-08-01,1472.07
2021-09-01,1406.39
2021-10-01,1522.04
2021-11-01,1809.65
2021-12-01,1857.65
2022-01-01,2003.2
2022-02-01,1946.19
2022-03-01,2233.3
2022-04-01,2430.55
2022-05-01,2547.09
2022-06-01,2405.36
2022-07-01,2592.38
2022-08-01,3171.21
2022-09-01,3179.99
2022-10-01,3978.96
2022-11-01,4977.64
2022-12-01,5509.16
2023-01-01,4976.55
2023-02-01,5237.33
2023-03-01,4812.93
2023-04-01,4617.93
2023-05-01,4886.91
2023-06-01,5759.11
2023-07-01,7216.96
2023-08-01,7917.93
2023-09-01,8334.94
2023-10-01,7514.1
2023-11-01,7948.6
2023-12-01,7470.18
2024-01-01,8496.66
2024-02-01,9193.69
2024-03-01,9142.4
2024-04-01,10045.74
2024-05-01,10400.48
2024-06-01,10647.91
2024-07-01,10638.58
2024-08-01,9833.22
2024-09-01,9665.78
2024-10-01,8863.88
2024-11-01,9652.0
2024-12-01,9830.56
2025-01-01,10004.38
2025-02-01,9658.72
2025-03-01,9659.48
2025-04-01,9078.43
2025-05-01,9019.57
2025-06-01,9948.51
2025-07-01,10743.2
2025-08-01,11288.05
2025-09-01,11012.12
2025-10-01,10971.52
2025-11-01,10898.7
2025-12-01,11261.52
