date,cpi
2019-01-01,398.07
2019-02-01,398.71
2019-03-01,402.81
2019-04-01,409.63
2019-05-01,413.52
2019-06-01,413.63
2019-07-01,419.24
2019-08-01,422.84
2019-09-01,427.04
2019-10-01,435.59
2019-11-01,437.25
2019-12-01,440.5
2020-01-01,446.45
2020-02-01,448.02
2020-03-01,450.58
2020-04-01,454.43
2020-05-01,460.62
2020-06-01,465.84
2020-07-01,468.56
2020-08-01,472.61
2020-09-01,477.21
2020-10-01,487.38
2020-11-01,498.58
2020-12-01,504.81
2021-01-01,513.3
2021-02-01,517.96
2021-03-01,523.53
2021-04-01,532.32
2021-05-01,537.05
2021-06-01,547.48
2021-07-01,557.36
2021-08-01,563.6
2021-09-01,570.66
2021-10-01,584.32
2021-11-01,604.84
2021-12-01,686.95
2022-01-01,763.23
2022-02-01,799.93
2022-03-01,843.64
2022-04-01,904.79
2022-05-01,931.76
2022-06-01,977.9
2022-07-01,1001.03
2022-08-01,1015.65
2022-09-01,1046.89
2022-10-01,1084.0
2022-11-01,1115.26
2022-12-01,1128.45
2023-01-01,1203.48
2023-02-01,1241.33
2023-03-01,1269.75
2023-04-01,1300.04
2023-05-01,1300.6
2023-06-01,1351.59
2023-07-01,1479.84
2023-08-01,1614.31
2023-09-01,1691.04
2023-10-01,1749.11
2023-11-01,1806.5
2023-12-01,1859.38
2024-01-01,1984.02
2024-02-01,2073.88
2024-03-01,2139.47
2024-04-01,2207.5
2024-05-01,2281.85
2024-06-01,2319.29
2024-07-01,2394.1
2024-08-01,2453.34
2024-09-01,2526.16
2024-10-01,2598.91
2024-11-01,2657.23
2024-12-01,2684.55
2025-01-01,2819.65
2025-02-01,2883.75
2025-03-01,2954.69
2025-04-01,3043.23
2025-05-01,3089.74
2025-06-01,3132.17
2025-07-01,3196.66
2025-08-01,3261.72
2025-09-01,3367.22
2025-10-01,3453.09
2025-11-01,3482.96
2025-12-01,3513.87
