date,unemployment
2019-01-01,13.6
2019-02-01,13.8
2019-03-01,13.9
2019-04-01,13.8
2019-05-01,13.7
2019-06-01,13.7
2019-07-01,13.9
2019-08-01,14.1
2019-09-01,14.1
2019-10-01,13.5
2019-11-01,13.3
2019-12-01,13.4
2020-01-01,13.0
2020-02-01,12.6
2020-03-01,13.0
2020-04-01,13.5
2020-05-01,13.6
2020-06-01,13.7
2020-07-01,14.1
2020-08-01,12.9
2020-09-01,12.6
2020-10-01,13.1
2020-11-01,13.0
2020-12-01,12.6
2021-01-01,12.3
2021-02-01,13.2
2021-03-01,12.9
2021-04-01,13.3
2021-05-01,13.4
2021-06-01,11.0
2021-07-01,11.6
2021-08-01,12.0
2021-09-01,11.3
2021-10-01,11.0
2021-11-01,11.2
2021-12-01,11.0
2022-01-01,11.3
2022-02-01,10.6
2022-03-01,11.2
2022-04-01,10.8
2022-05-01,10.8
2022-06-01,10.2
2022-07-01,10.2
2022-08-01,9.8
2022-09-01,10.1
2022-10-01,10.3
2022-11-01,10.1
2022-12-01,10.4
2023-01-01,9.8
2023-02-01,10.0
2023-03-01,10.2
2023-04-01,10.1
2023-05-01,9.5
2023-06-01,9.3
2023-07-01,9.4
2023-08-01,9.2
2023-09-01,9.0
2023-10-01,8.5
2023-11-01,8.9
2023-12-01,8.9
2024-01-01,9.2
2024-02-01,8.7
2024-03-01,8.8
2024-04-01,8.6
2024-05-01,8.5
2024-06-01,9.1
2024-07-01,9.0
2024-08-01,8.5
2024-09-01,8.5
2024-10-01,8.7
2024-11-01,8.4
2024-12-01,8.6
2025-01-01,8.6
2025-02-01,8.3
2025-03-01,8.1
2025-04-01,8.7
2025-05-01,8.4
2025-06-01,8.5
2025-07-01,8.1
2025-08-01,8.5
2025-09-01,8.5
2025-10-01,8.4
2025-11-01,8.5
2025-12-01,7.7
